label,text
neu,imixmonitors i m home . it s not everyone for that show in orlando .
neu,iamwill61 when should i come and have a suits ? ?
neu,arieee you still have my movie
neu,death6701 except for you . . . because you have a cat as an icon
pos,"NIS 2003 worked like a charm last year. but  It can not be the computer or the owner, since I purchased McAfee Anti-Virus 8 and it installs and works fine with no problems."
pos,"NIS 2003 worked like a charm last year. but  It can not be the computer or the owner, since I purchased McAfee Anti-Virus 8 and it installs and works fine with no problems."
neg,"you cannot download the pictures off the phone, motomixer is not on the phone either"
neg,"I have read the installation instructions for both NIS 2004 and NAV 2004 prior to installation, but still ended up with the same result...junk software."
neg,"But if I installed either one of these Norton products, neither works after installation?"
neg,"It can not be the computer or the owner, since I purchased McAfee Anti-Virus 8 and it installs and works fine with no problems."
neg,"I have used Norton for the past 5 years and for the last 2 years, the software has gotten more and more disgraceful."
neg,I am glad that I do not work for Norton.
neg,"After 4 attempted installs, I have finally given up."
neg,"During install, NIS would either freeze or not reboot properly when asked to do so."
neg,"The MS scandisk would appear due to manual shutdown and would only scan to the 2nd bar, over and over(up to 1 hr, I then shut it down and used GOBACK)."
neg,"The 1 time it did install, it did not work and had errors, I used the unistall NIS icon and it properly removed itself."
neg,I have never had this problem with any other software on my computer.
pos,NIS 2003 worked like a charm last year.
neg,"Being a past Norton customer, I consider this to be a slap to my face."
neg,Buying software that can not be installed normally and being put into the position of having a non-working computer.
neg,"Norton has been on a downhill slid recently with their products, but with this one, they have fallen off the cliff."
neg,"As a loyal customer of Norton/Symantec products, I purchased Internet Security 2004 as a software firewall and could not be any more dissatisfied with the product (and hence the one star rating)."
neg,Yeah - this program protects your computer all right - by locking you off the internet.
pos,The latest of Internet Security has antispam function that is helpful because I has received a mountain of those these days.
neg,Other than that it is all the same except the new updates.
pos,But that is good for me because Symantec softwares are a bit hard to master for me who are not savvy on computers.
neg,So far I haven't had so much complaints except that I still haven't mastered how to scandisk when using Internet Security.
neg,Too bad the product is cumbersome and intertwined trying to do so much at one time.
neg,Sometimes a suite is not a good deal and all you get is a bundle of headaches.
pos,"I'm not sure why all the bad reviews, my computer isn't especially slowed down and I have Win'98."
pos,"Sure, it slows it down a little, but that's expected."
pos,"Perhaps Semantic could work out the efficiency a little, but these reviews are highly exagerated... I would ask what else these people are running on their computers(?)"
neg,Norton Internet Security 2004 is one of the more buggy implementations.
neg,This product has virtually all the same installation problems.
neg,"For purposes of clarity, here is my review from that product,edited to be appropriate for this product, since, for the most part, they share many of the same problems."
pos,This is the fourth version of SystemWorks and the second version of Internet Security that I have used and it has always been a favorite.
pos,"The antivirus feature is phenomenal, and is regularly updated."
pos,"I think their antivirus software was one of, if not the best, on the"
neg,"This version of Internet Security 2004, is beyond hope."
neg,"They are a royal pain to install, and don't function properly once finally installed -- if you can install them at all."
neg,The biggest problem is the installation.
neg,"Also if you do manage to get it installed, any problems with LiveUpdate or with System Works will also affect the functionality and/or the process of updating Internet Security."
neg,"I've had to install and uninstall them four or five times so far, and I've not to get either product working properly."
neg,"First, it serious, serious installation problems."
neg,"Back in May 2004, when I first reviewed this, it had taken me over 16 hours to install and run."
neg,"Almost from the beginning, LiveUpdate would not function."
neg,"First, it failed whenever connecting to get updates."
neg,"When I finally got it working, it only worked properly for many a month."
neg,"The next problem was that it didn't recognize all the installed components, so it would not update them, most notably and importantly, virus definitions."
pos,"Once installed, however, some of the functions do work OK (Disk Doctor, One Button Checkup, and WinDoctor)."
pos,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable."
neg,"But this doesn't make up for it's innumerable other short-comings, the biggest of which is the inability to download any updates due to problems with LiveUpdate."
neg,The other annoyance with this that you have to remove every single remnant of previous version of Norton SystemWorks before you installs this.
neg,"Warning! The Windows ""remove program"" feature does not do a good job of this, and neither does Norton's own removal program."
neg,"A lot of ""fragments"" were left in the Registry, and it the Norton system folders."
pos,"Their website had a download that helped remove those, although I had to manually remove a good number of files from the ""Programs"" directory."
neg,"If you have an older version of ""Internet Security"" installed, you may also need to remove it as well before proceeding with SystemWorks install."
neg,You also need to go in and MANUALLY remove many Symantec files from the REGISTRY.
neg,"As of October, 2004, these products are NOT working and I'm ready to demand a refund from Symantec."
neg,I just uninstalled SystemWorks and Internet Security for at least the fifth time due to funtionality issues.
neg,"Once again it won't reinstall, even with online and email assistance from Symantect Technicians."
neg,"The best thing to do with this version, is to leave it on the store shelf. It doesn't work, and will cost you an enormous amount of your time, not to mention your hard earned dollars."
neg,"Personally, I may never buy Symantect products again."
neg,Avoid this product at all costs.
neg,"There are some highs to the 2004 edition, but mostly lows."
neg,"The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks."
neg,"I had a question about the pros and cons of turning off the Norton firewall vs. the windows firewall, and waited 45 minutes to speak with a tech support representative because I did not have a ""customer priority ID number."""
neg,"Then when I went to Norton's website to obtain a priority ID number per the instructions I had been given, I couldn't find a way to get one."
neg,"So I e-mailed the online tech support with that simple question, and got a reply which was totally unresponsive (it looked as though they didn't actually read the e-mail and just sent back a few boilerplate paragraphs)."
neg,"And, when you think about it, it's insulting that Norton requires its customers to jump through these hoops -- anyone who can provide proof of purchase, whether on the phone or online (what if your computer is down?), should have equal priority."
pos,Norton's memory usage on systems with 512 MB is very low.
pos,I just got an older 866 Mhz system with 512 PC 133 RAM and it also runs fine on that.
pos,Both the antivirus and firewall are integrated into one piece of software and they update together.
pos,You won't need to update your firewall and antivirus separately or install two disks.
pos,The best part of the firewall is the visual backtracking.
neg,Stay away from this product!
neg,"I don't know what's happened to Norton, but 2004 is absolute garbage."
neg,The customer support is pathetic.
neg,I have found too many bugs in Norton Internet Security Professional to recommend it to any one without extreme patience and experience.
neg,This product is absolutely not ready for release.
neg,"It is buggy, slow and basically frustrates the heck out of the user."
neg,"I am an IT professional and have used Norton for years, but this product is a complete and utter dud."
neg,It's a rip off if one buys Norton Internet Security and antivirus.
neg,Nothing spectacular is done by internet security or by antivirus software.
neg,Even though I have the parental controls off it constantly starts updating them then freezes my computer.
neg,"Now in October,2004, the firewall said I couldn't OK anymore software to use the internet because its full."
neg,Im at full capacity!!!! I called Symantic and they said they don't know why but I should get Tech's Support at $35/hr to help!! I did call them and was on hold for 55 minutes untill I hung up!
neg,"So, DON'T buy this or upgrade."
neg,"If you currently own the 2003 version, and are looking to upgrade to the 2004 version, don't."
neg,"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive."
neg,"If you are new to the market and looking to buy a symantec software product, save yourself some money and buy the 2003 version."
neg,"From day one, we've had hangups, crashes, glitches, continual reboots, LONG shutdowns due to ""ccApp.exe"" program running which is a Norton program."
neg,Long reboots due to Norton taking FOREVER  to boot.
neg,"We constantly got ""Windows Virtual Memory Low"" error messages popping up follwed by ridiculous slowdowns and/or crashes."
neg,Norton online support does not even acknowledge this problem nor does the computer company that preloaded it on our new computer.
neg,Norton support is completely pathetic.
neg,DO NOT BUY ANY HOME VERSION OF NORTON ANYTHING.
pos,We were able to obtain a Norton Corporate Edition of Antivirus only (no firewall or utilities) and so far it's great.
pos,I've used the Corporate edition at work without any problems ever.
neg,"If we had been unable to obtain the Corporate edition, we would NOT have purchased another Norton 2004 or 2005 home version anything."
neg,"Our Norton Internet/AV 2004 was terrible right from the get go, so I'd think that if SytemWorks is ok now, it should remain ok."
pos,"By the way, I use the Norton 2003 Corporate at work with absolutely no trouble."
pos,"Likewise, I've heard Norton 2004 PROFESSIONAL version is fine too."
neg,Just the home version of Norton Internet/AV has too many glitches and problems to even remotely bother with.
neg,"I am an advanced computer user, so I cannot even imagine how a new or novice user would ever get this terrible program to work!"
neg,"Seems the ""program scan"" feature did NOT find the EXE file for Outlook!"
neg,"Like most of their solutions (which first blame other applications for errors), the tech persons line was that this was probably a Microsoft error - it was NOT."
neg,It was a Symantec error.
neg,"After a recent update, I can no longer open more then 1 browser window."
neg,I've searched the program and their online tech support (worthless) and have found no solutions.
neg,"This is definitely one of those products, especially as the company is leaning more towards making a profit."
pos,I've been using NIS 2004 for about 2 months and it works well.
neg,"Some of the options are confusing, especially when the popup warnings occur, but I've had no problems with intrusions."
pos,Norton pops up a window about the intrusions and gives me as much detail as possible about where the intrusion is coming from.
neg,The popup blocker and anti-spam are bonuses.
neg,"Product is OK; however, despite the fact that I followed the rebate instructions explicitly, I am being denied the rebate because the processing agency incorrectly claims I did not send in proof of ownership of a previous product."
pos,I didn't have any major problems installing this software.
neg,"The only problem I had was a few components didn't quite load correctly upon startup, but a reboot fixed the problem."
pos,"Anyhow, this software is working fine and no problems since I installed it two weeks ago."
neg,I give it 4-stars only because the installation process - or rather problems that may surface during the installation process - can be frustrating to the average computer user.
neg,"If you experience problems with installation, you can visit symantec's website, click the support tab, click the 'home or home office support' and there is an automated support assistant that can scan the Norton program files on your computer and it will tell you what is not working right and how to fix it."
neg,Can't get easier than that!
neg,"I already knew something was wrong, because much of the Spam I've seen in the past six months was from resellers of Norton products."
pos,Mine installed no problem (but I DID uninstall my Norton Anti-Virus 2002 & Personal Firewall 2002 first).
pos,Seems to work great.
neg,"I read many reviews on Norton I.S. 2004 from a variety of sources (Cnet, Amazon, message boards) and came to the conclusion that NIS 04 was a terrible product and not worth the update."
neg,Booting up my computer took forever!!!
neg,"Then, my ad/pop-up blocking was completely gone."
neg,My file log was not responding and the program was not blocking any cookies or unauthorized sites.
neg,"Again, every review written about the Tech Line is true...after waiting close to 45 minutes I finally spoke to a rep."
neg,After telling the rep and his tech supervisor the problem the only answer was to uninstall the program (which I had already done)...
neg,They didn't know what the problem could be.
neg,I did it and it was worse the second time around...unbelievable.
neg,"Basically, I ate the cost of the renewal and ate the cost of the Tech Help."
neg,"Unfortunately, it does not give you the option of unstalling (or uninstalling) them individually."
neg,"You can ""disable"" some of the individual components, but don't be fooled--they're still there and running."
neg,"Although I disabled Norton AntiSpam, it is still there."
pos,This did manage to cut the number of popups during start-up from 4 down to 2.
neg,But those 2 come up every time.
neg,"Next, the big reason not to buy ANY Norton product:  If there's a problem with it, Norton charges $30 to even tell them about it."
neg,"Sure they say if it's their fault you won't get charged, but THEY are the ones who get to decide whether it's their fault."
pos,"While it didn't have all the features I would have liked, it was better than anything else I could find at the time."
neg,The problems I had installing Norton extended way beyond what Symantec should reasonably expect the public to deal with.
neg,"When I purchase software, I NEVER want to have to spend hours looking up solutions to my install problems -- in particular solutions that involve manually setting driver preferences or editing the registry!"
pos,"Also, with one click you can help train your spam killer."
pos,And the firewall came with a wizard which made it effortless to configure it to my LAN.
neg,"I downloaded this set from Norton, and within minutes my Internet connection failed and my PC was almost dead due to registry problems from the download."
neg,Their site offers no live help at all.
neg,"I tried to call Norton, and the only numbers they list on their sites are either for Non-tech Customer Service (tried this one and hung up after 75 minute of MUZAC) or they have a $30 tech-support number."
neg,Who wants to pay $30 to discuss a defect in a product that just cost $95? (I also bought the back-up CD).
neg,"I finally got a free support number for Norton through my ISP support staff, but waited an hour or more for a voice."
neg,"They said they would refund all the money, but a month later, they tell me now the back-up disc is not refundable as its cost is purely handling and shipping - $15 to ""handle"" and ship a CD? --and they have been indignant and combative on the phone and in emails."
neg,This is a terrible company with a bad product and awful support.
neg,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful."
neg,"No problems now, just a sickly disappointment in the way Norton has abandoned thier customers."
neg,"I see many other reviews that say the same....stay away from Norton, they don't deserve you, or anyone!"
pos,"It's a highly rated, KICK ASS firewall program that's bundled with the venerable Norton AntiVirus, plus extras (like Norton AntiSpam & Norton Parental Control) that make this security suite a must-have for people who have broadband internet access."
neg,"I've alway liked Symantec products, except for this version 2004."
neg,"If you are already using a previous version of nortron security and unistalled it to install the new version, you will still have all kind of problems in installing the new version on your system!"
pos,"Luckly,with 3 rebates this product will cost me nothing! it is indeed worth nothing."
neg,"To install that version you have to uninstall from the window registery anything called Symantec or Nortron,... also from the common files in the program folder the symantec folder has to be deleted."
neg,"If you have no previous version of  nortron security on your system, or Nortron Antivirus, the installation will go fine, otherwise dig in and in to do a major registery clean up!the old programs will leave a trace that will mess up the new installation, even if you uninstalled the old programs perfectly."
neg,"What dissapointes me the most that a software like that  is not cheap gets zero support form symantec, if you want support, they'll charge you a Fee!"
pos,I've tried the free versions of zone alarm and the free version of sygate and they both have a nice and easy installation and work great!.
neg,I am giving a zero star to symantec for this version!
pos,The only free help you get is in renewing your subscription!
neg,The only way my pc internet works is if I open the Firewall Program configuration and manually refresh it.
neg,Symantec should give us all a refund and apology!
neg,"I will NEVER buy their product again at this rate, and neither should you."
pos,The product has worked perfectly for me on my XP.
pos,"No more banner ads, pop-ups, and the reliable antivirus."
pos,"I work on word, explorer, netscape, acrobat reader, photoshop at same time (meaning using a lot of memory), but still dont see a problem with computer (getting slow or crashing)."
pos,This product is way cooler than anything Ive used before (PcCillins and McCafees and Norton Antivirus alone).
pos,5 stars all the way!
pos,All in all it hasn't been a bad product.
neg,"However, Symantec has taken a significant turn for the worse with this release."
neg,"While it has a rather effective firewall, and comes with Norton Antivirus (which I'm actually rather fond of), the Security Suite has significantly slowed down my system."
neg,"I'm currently using a Sony Vaio S-150 (which I bought at the end of this past August), and it takes about five minutes just to boot the system - in fact, I've taken to just hibernating, rather than shutting down completely."
neg,"The Antivirus is good, but ""Internet Security"" just isn't worth it."
pos,"I've owned many Norton products in my time, and for the most part, I've been pleased with their performance."
pos,This is also the case with NIS 2004.
pos,"I upgraded from NIS 2003, and the change in performance has not been noticeable."
pos,"On the contrary, I'm quite pleased with my upgrade."
pos,It works better and has more useful features than NIS 2003.
pos,"The program is fully featured, with much of what you'd want from a security program --"
neg,"The installation, set-up, and operating interfaces are well organized and intuitive and the email spam component works well."
neg,"HOWEVER, I AM VERY DISAPPOINTED WITH THIS PRODUCT AND WITH SYMANTEC."
neg,"It feels like I'm back to the days of 56k dial-up internet service, even though I'm running a Dell 2GHz Pentium 4 with 256MB memory and have had excellent broadband service for the past year."
neg,"I tried disabling the various components provided with this product, paring it all the way back to anti-virus only service... and saw no improvement."
neg,There is absolutely nothing useful at the Symantec/Norton site.
neg,"However, I suspect that many people are having a bad experience -- DO NOT PURCHASE THIS PRODUCT."
pos,PIII 1Ghz 512MB RDRAM Windows XP Pro 80GB HD  I was able to Uninstall NIS 2003 and Install NIS 2004 with no trouble.
pos,"I installed, activated and registered NIS 2004 without issue."
neg,"So far, the Anti-Spam feature seems to be very good."
neg,This program would not let me send Outlook Email or listen to Audible sample books online.
neg,Buy this if you like mental challenges or trying how to pick locks.
neg,"I had much of the same problems that everyone else has listed (mainly the SLOOOOOOOOOW processor), and then I couldn't get the damn thing off my computer completely!"
neg,It locked during install and I had to reformat the drive and start from scratch (GRRRRRR!)
pos,I downloaded a trial version of Computer Associates EZ Firewall and Antivirus and fell in love with a computer security system all over again.
neg,And I can't warn you enough to STAY AWAY FROM NORTON!!
pos,I did not have any of the installation problems that people highlighted here.
neg,"It was immediately noticeable that NIS slows down my computer (Pent4, 256 RAM)."
neg,I think it is a combination of the program size taking up resources and the open/close scanning that it does with every program.
neg,Is it necessary to scan my MS Money database when I close the program?
neg,"I have a modern PC with lots of speed and memory, but this firewall just brought it to a halt."
neg,"Start up, log off, log on...everything became very slow."
neg,Configuring it for a home network was almost impossible.
neg,Multiple users on one machine never seemed to behave like you'd expect.
neg,"While I was trying to play Half Life 2 it started popping up with ""alerts"" every twenty seconds (literally), warning me my antivirus protection was off."
neg,But it wouldn't let me turn the AV protection back on and it wouldn't stop with the alerts.
neg,"I had tried to uninstall Norton Internet Security a few weeks ago, and it wouldn't let me do that either."
neg,"I tried it again this morning and it said I didn't have the required ""permissions"" and lacked proper administrator status."
neg,"Of course, if you try to reach Symantec customer service you get useless automated systems unless you want to pay $30 per incident."
neg,"This time, it started the uninstallation process, then I left for work. I think it will work. I hope it will work."
neg,"I simply hate Symantec. I swear, if I could have physically ripped that software out of my computer with my bare, bleeding hands, I would have."
pos,Their products have been great and have saved my bacon on numerous occasions.
pos,I've had this beauty for nearly 2 months now and I truely love it.
neg,The only disappointment so far has been battery life.
neg,Mine generally requires a charege every 48 hours or so and I don't really talk on it that much.
pos,It has it all.
pos,"This is the first phone I know of that has the large bright screen, infrared, bluetooth, USB connector and a speakerphone."
pos,"If you are looking for an upgrade, this is definitely the phone for you."
pos,"3660 had similar features, but that is big in size."
pos,6600 looks and feels nice.
pos,This one is full of features(has bluetooth).
pos,Especially the LCD is big and the camera quality is among the very best around.
pos,"I have set up it's PDA features with avantgo.com where you can download info from sites like weather,mapquest maps/directions into it, which is great."
pos,"Using supplied s/w, you can transfer all addresses from a different nokia phone into it."
pos,Goes ~3 days after a charge.
neg,I purchased this phone knowing it was slightly old as compared to the newer models of Nokia phones available.
neg,I thought it was kind of steeply priced at that time.
pos,I must add to the dismay/delight of readers this phone is simply the most groundbreaking phone mankind has ever held.
pos,It has raised the bar owing to number of features it offers and the absolute ease of use delight.
pos,1.The Phone has the best keypad any Nokia phone has to offer.
pos,Believe me when I say this I have used and fingered all Nokia phones and the 6600 has the best keypad
pos,I must admit its not the best looking phone ever but then it has this look of static and absolute conviction that looks like everything a phone should be
pos,3. The Nokia 6600 has a brilliant Java interface.
pos,The Phone offers a 32 Mb MMC card and I think that is certainly the most exciting feature.
pos,Capacity is not a problem here.
pos,4. The Build is just right.
pos,The phone is sturdy.
pos,I've dropped it atleast a dozen times to my recolletion and it still works as good as ever.
pos,Its a tough one this unless you wanna drive your car over it.
pos,"This isn't the most rugged phone ever but then your not gonna play aeroplane with this,are you."
pos,5.The Camera installed on this phone is awesome.
pos,I click pictures in JPG format and because the phone has a bluetooth device I find it extremely easy to transfer pics to my pc and forth.
pos,The display and brightness on this phone is quite extraordinary.
pos,The use of 65536 (16bit) colors ensures you get your share of animations and icons on your phone
pos,It has great upgradibility.
pos,"The log functions helps you track down the incoming , outgoing calls in the most easy of ways."
pos,The handsfree provided by the phone is useful for those who talk on the phone while driving.
neg,"Anyhow some demerits of this phone, The phone has a slow processor and the ear volume is lower than 6610 but then the 6610 has the best ear volume among most Nokia variants."
neg,The battery life of this phone is at most 2 days and at least one day at excessive use.
neg,Video recording is limited at just 9 seconds.
neg,You can upgrade but then there's a certain level of trouble involved.
pos,This makes for a great phone.
neg,"I've had Nokia's for years, and while this one is packed with whiz bang features it is disappointing for its primary use - a phone."
neg,"On the plus side it's packed with features, including BlueTooth that works fine - it's really a tiny computer that is also a phone... and that's the negative."
neg,"As a computer, or PDA its weak since the screen, while large by phone standards, is still tiny to really do anything on."
neg,"When you dial a number, you'll need to check the screen to see that the number entered is correct."
neg,You'll do that because the keys are tightly packed in and your fingers will likely press two keys at once.
neg,"I hope you have a magnifying glass, because the number displayed as well as most of the pop up options are tiny."
neg,It's as though Nokia has segregated 90% of the screen for fancy features rarely used and leave just 10% for the day to day use.
